Car_Name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,seats,Engine (CC)
Maruti,2014,450000,145500,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2010,225000,127000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2017,440000,45000,Petrol,Individual,Manual,First Owner,5,1197
Toyota,2011,350000,90000,Diesel,Individual,Manual,First Owner,5,1364
Ford,2013,200000,169000,Diesel,Individual,Manual,First Owner,5,1399
Hyundai,2012,500000,53000,Diesel,Individual,Manual,Second Owner,5,1396
Maruti,2002,150000,80000,Petrol,Individual,Manual,Second Owner,5,796
Hyundai,2016,680000,100000,Diesel,Individual,Manual,First Owner,5,1396
Mahindra,2011,174000,100000,Diesel,Individual,Manual,Second Owner,5,1461
Maruti,2012,600000,72000,Diesel,Individual,Manual,First Owner,5,1248
Tata,2018,500000,35000,Petrol,Individual,Manual,First Owner,5,1199
Maruti,2016,575000,45000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2018,850000,64000,Petrol,Dealer,Manual,First Owner,5,1462
Tata,2011,265000,120000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2011,190000,110000,Petrol,Individual,Manual,Third Owner,5,1197
Hyundai,2013,425000,60000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2019,650000,30000,Petrol,Individual,Manual,First Owner,5,1197
Volkswagen,2016,540000,40000,Diesel,Individual,Manual,First Owner,5,1498
Maruti,2018,448000,30000,Petrol,Individual,Automatic,First Owner,5,998
Volkswagen,2017,500000,80000,Diesel,Individual,Manual,First Owner,5,1498
Hyundai,2011,235000,60000,Petrol,Individual,Manual,Second Owner,5,1197
Maruti,2013,450000,120000,Diesel,Individual,Manual,Second Owner,5,1248
Volkswagen,2013,450000,170000,Diesel,Individual,Manual,First Owner,5,1598
Ford,2015,610000,90000,Diesel,Individual,Manual,First Owner,5,1498
Maruti,2017,484999,10000,Petrol,Dealer,Manual,First Owner,5,998
Hyundai,2012,290000,28000,Petrol,Dealer,Manual,First Owner,5,1086
Hyundai,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,5,1086
Maruti,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,5,796
Hyundai,2017,725000,110000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,5,998
Maruti,2019,615000,10000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2018,610000,35000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2013,522000,150000,Diesel,Individual,Manual,Second Owner,5,1582
Hyundai,2013,451999,69000,Diesel,Individual,Manual,First Owner,5,1396
Maruti,2020,475000,13000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2017,595000,40000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2017,440000,35000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2016,1140000,50000,Diesel,Individual,Manual,First Owner,5,1582
Ford,2017,850000,76139,Diesel,Individual,Manual,First Owner,5,1498
Renault,2018,350000,25000,Petrol,Individual,Manual,First Owner,5,999
Maruti,2015,360000,40000,Petrol,Individual,Manual,Second Owner,5,998
Maruti,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5,796
Maruti,2013,625000,90000,Diesel,Individual,Manual,Second Owner,7,1248
Maruti,2015,700000,110000,Diesel,Individual,Manual,Second Owner,7,1248
Maruti,2012,340000,24300,Petrol,Dealer,Manual,First Owner,5,1197
Tata,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,5,1497
Volkswagen,2011,300000,100000,Diesel,Individual,Manual,Second Owner,5,1598
Ford,2011,160000,120000,Diesel,Individual,Manual,First Owner,5,1399
Maruti,2015,515000,36600,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,5,998
Maruti,2010,220000,120000,Diesel,Individual,Manual,First Owner,5,1248
Toyota,2010,300000,60000,Diesel,Individual,Manual,First Owner,5,1364
Tata,2017,490000,90000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2016,459999,60000,Petrol,Individual,Manual,Second Owner,5,1197
Tata,2019,520000,14000,Petrol,Individual,Manual,First Owner,5,1199
Maruti,2015,580000,70000,Diesel,Individual,Manual,First Owner,7,1248
Maruti,2017,550000,50000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2018,420000,35000,Petrol,Individual,Automatic,First Owner,5,998
Maruti,2017,550000,20000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2018,700000,7800,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2017,500000,20000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,290000,60000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2018,830000,5000,Petrol,Individual,Automatic,First Owner,5,1197
Maruti,2011,160000,25000,Petrol,Individual,Manual,Second Owner,5,796
Hyundai,2020,524000,32000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2015,245000,40000,Petrol,Individual,Manual,First Owner,5,796
Maruti,2016,350000,140000,Petrol,Individual,Manual,First Owner,5,998
Maruti,2010,250000,110000,Diesel,Individual,Manual,Second Owner,5,1248
Hyundai,2017,1100000,37000,Diesel,Individual,Manual,First Owner,5,1582
Maruti,2015,640000,80000,Diesel,Individual,Manual,First Owner,7,1248
Maruti,2013,550000,70000,Diesel,Individual,Manual,First Owner,5,1248
Hyundai,2009,200000,53000,Petrol,Individual,Manual,Second Owner,5,1197
Maruti,2014,500000,120000,Diesel,Individual,Manual,Second Owner,5,1248
Maruti,2015,350000,100000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2017,800000,39000,Diesel,Individual,Manual,First Owner,5,1396
Hyundai,2013,530000,92500,Diesel,Individual,Manual,First Owner,5,1582
Maruti,2012,360000,158000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2015,525000,20000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2014,375000,80000,Petrol,Individual,Manual,First Owner,5,1197
Hyundai,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5,1396
Tata,2012,290000,60000,Diesel,Individual,Manual,First Owner,5,1248
Maruti,2005,110000,45000,Petrol,Individual,Manual,Second Owner,5,796
Maruti,2016,520000,20000,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2019,675000,16500,Petrol,Individual,Manual,First Owner,5,1197
Maruti,2005,90000,99361,Petrol,Individual,Manual,Second Owner,5,796
Tata,2018,645000,10000,Petrol,Individual,Automatic,First Owner,5,1199
Maruti,2017,409999,47000,Petrol,Individual,Manual,First Owner,5,998
Hyundai,2018,1210000,25000,Diesel,Individual,Manual,First Owner,5,1396
